"ORDEN;CLASE;MARCA;MODELO;FECHA MATRICULA/RADICACION;AÑO;MES;DIA"
"1;MOTOCICLETA;YAMAHA;2000;02/02/2000;2000;02/02/2022;02.mi‚rcoles"
"2;MOTOCICLETA;SUZUKI;2000;23/02/2000;2000;02/02/2022;23.mi‚rcoles"
"3;AUTOMOVIL;RENAULT;1988;18/09/2000;2000;09/09/2022;18.lunes"
"4;CAMIONETA;CHEVROLET;1988;24/03/2000;2000;03/03/2022;24.viernes"
"5;MOTOCICLETA;SUZUKI;2000;29/08/2000;2000;08/08/2022;29.martes"
"6;AUTOMOVIL;CHEVROLET;2001;04/12/2000;2000;12/12/2022;04.lunes"
"7;AUTOMOVIL;MAZDA;1992;08/06/2000;2000;06/06/2022;08.jueves"
"8;AUTOMOVIL;MAZDA;1994;27/12/2000;2000;12/12/2022;27.mi‚rcoles"
"9;CAMIONETA;MAZDA;2000;02/08/2000;2000;08/08/2022;02.mi‚rcoles"
"10;MOTOCICLETA;YAMAHA;2000;05/03/2000;2000;03/03/2022;05.domingo"
"11;MOTOCICLETA;YAMAHA;2000;03/01/2000;2000;01/01/2022;03.lunes"
"12;CAMPERO;TOYOTA;1993;01/02/2000;2000;02/02/2022;01.martes"
"13;MOTOCICLETA;HONDA;2000;04/04/2000;2000;04/04/2022;04.martes"
"14;CAMIONETA;CHEVROLET;1988;07/06/2000;2000;06/06/2022;07.mi‚rcoles"
"15;AUTOMOVIL;MAZDA;1992;16/06/2000;2000;06/06/2022;16.viernes"
"16;MOTOCICLETA;HONDA;2000;04/10/2000;2000;10/10/2022;04.mi‚rcoles"
"17;AUTOMOVIL;CHEVROLET;2000;24/02/2000;2000;02/02/2022;24.jueves"
"18;AUTOMOVIL;MAZDA;2000;05/01/2000;2000;01/01/2022;05.mi‚rcoles"
"19;MOTOCICLETA;HONDA;2000;20/09/2000;2000;09/09/2022;20.mi‚rcoles"
"20;MOTOCICLETA;SUZUKI;1999;13/01/2000;2000;01/01/2022;13.jueves"
"21;MOTOCICLETA;SUZUKI;2000;07/03/2000;2000;03/03/2022;07.martes"
"22;AUTOMOVIL;FORD;2000;25/05/2000;2000;05/05/2022;25.jueves"
"23;MOTOCICLETA;YAMAHA;2000;17/02/2000;2000;02/02/2022;17.jueves"
"24;MOTOCICLETA;HONDA;2000;13/01/2000;2000;01/01/2022;13.jueves"
"25;AUTOMOVIL;MAZDA;2000;10/02/2000;2000;02/02/2022;10.jueves"
"26;AUTOMOVIL;CHEVROLET;2000;12/10/2000;2000;10/10/2022;12.jueves"
"27;AUTOMOVIL;FORD;2000;23/10/2000;2000;10/10/2022;23.lunes"
"28;MOTOCICLETA;YAMAHA;2000;09/05/2000;2000;05/05/2022;09.martes"
"29;AUTOMOVIL;CHEVROLET;1995;27/07/2000;2000;07/07/2022;27.jueves"
"30;MOTOCICLETA;SUZUKI;2000;18/05/2000;2000;05/05/2022;18.jueves"
