Subregión,Municipio,Nombre Programa,Número de Soluciones,Estado del Proyecto,N° Convenio,Fecha
AMVA,Barbosa,Antioquia se Pinta de Vida,1,Ejecutado,CI-210-2020,2020-10-23T00:00:00.000
AMVA,Barbosa,Capacitación Técnica y Social,1,Ejecutado,N/A,N/A
AMVA,Barbosa,Mejoramiento de Vivienda,600,En ejecución,CI-791-2021,2021-12-29T00:00:00.000
AMVA,Barbosa,Titulación y/o Legalización,6,Ejecutado,MVCT-1047-2020,2020-09-30T00:00:00.000
AMVA,Bello,Capacitación Técnica y Social,1,Ejecutado,N/A,N/A
AMVA,Bello,Mejoramiento de Vivienda Urbana,380,En ejecución,017-2020,2020-10-30T00:00:00.000
AMVA,Bello,Titulación y/o Legalización,30,Ejecutado,MVCT-852-2020,2020-09-30T00:00:00.000
AMVA,Bello,Vivienda Nueva Urbana,10,En ejecución,CI-568-2021,2021-12-15T00:00:00.000
AMVA,Caldas,Antioquia se Pinta de Vida,1,Ejecutado,CI-590-2021,2021-12-09T00:00:00.000
AMVA,Caldas,Capacitación Técnica y Social,1,Ejecutado,N/A,N/A
AMVA,Caldas,Mejoramiento de Vivienda,90,En ejecución,CI-680-2021,2021-12-01T00:00:00.000
AMVA,Caldas,Titulación y/o Legalización,13,Ejecutado,MVCT-970-2020,2020-09-30T00:00:00.000
AMVA,Copacabana,Capacitación Técnica y Social,1,Ejecutado,N/A,N/A
AMVA,Copacabana,Mejoramiento de Vivienda,55,En ejecución,CI-778-2021,2021-12-01T00:00:00.000
AMVA,Copacabana,Mejoramiento de Vivienda,50,SGR - Ejecución,CI-782-2021,2021-11-26T00:00:00.000
AMVA,Copacabana,Mejoramiento de Vivienda Rural,1,En ejecución,CA-348-2020,2020-12-31T00:00:00.000
AMVA,Copacabana,Titulación y/o Legalización,4,Ejecutado,N/A,N/A
AMVA,Envigado,Capacitación Técnica y Social,1,Ejecutado,N/A,N/A
AMVA,Envigado,Titulación y/o Legalización,9,Ejecutado,N/A,N/A
AMVA,Envigado,Vivienda Nueva Urbana,135,Ejecutado,CI-453-2021,2021-08-10T00:00:00.000
